longitude,latitude
79.521461,8.828720
79.521461,8.855629
79.521461,8.882538
79.521461,8.909431
79.521461,8.936333
79.521461,8.963234
79.521461,8.990128
79.521461,9.017021
79.521461,9.043915
79.521461,9.070801
79.521461,9.097694
79.521461,9.124573
79.521461,9.151459
79.521461,9.178337
79.521461,9.205223
79.521461,9.232094
79.521461,9.258972
79.521461,9.285851
79.521461,9.312714
79.521461,9.339584
79.521461,9.366455
79.521461,9.393318
79.521461,9.420189
79.521461,9.447044
79.521461,9.473900
79.521461,9.500755
79.521461,9.527618
79.521461,9.554466
79.521461,9.581322
79.521461,9.608170
79.521461,9.635010
79.521461,9.661850
79.521461,9.688705
79.521461,9.715538
79.521461,9.742371
79.521461,9.769211
79.521461,9.796036
79.521461,9.822876
79.521461,9.849701
79.521461,9.876534
79.521461,9.903358
79.521461,9.930176
79.521461,9.957001
79.521461,9.983818
79.521461,10.010635
79.521461,10.037445
79.521461,10.064255
79.548691,5.722969
79.548691,5.750061
79.548691,5.777153
79.548691,5.804245
79.548691,5.831329
79.548691,5.858421
79.548691,5.885506
79.548691,5.912590
79.548691,5.939682
79.548691,5.966759
79.548691,5.993843
79.548691,6.020920
79.548691,6.047997
79.548691,6.075073
79.548691,6.102150
79.548691,6.129227
79.548691,6.156296
79.548691,6.183365
79.548691,6.210442
79.548691,6.237511
79.548691,6.264572
79.548691,6.291641
79.548691,6.318710
79.548691,6.345772
79.548691,6.372833
79.548691,6.399895
79.548691,6.426949
79.548691,6.454010
79.548691,6.481064
79.548691,6.508125
79.548691,6.535172
79.548691,6.562225
79.548691,6.589272
79.548691,6.616318
79.548691,6.643364
79.548691,6.670418
79.548691,6.697456
79.548691,6.724495
79.548691,6.751541
79.548691,6.778587
79.548691,6.805618
79.548691,6.832657
79.548691,6.859688
79.548691,6.886719
79.548691,6.913757
79.548691,6.940788
79.548691,6.967812
79.548691,6.994843
79.548691,7.021873
79.548691,7.048897
79.548691,7.075912
79.548691,7.102936
79.548691,7.129959
79.548691,7.156975
79.548691,7.183998
79.548691,7.211006
79.548691,7.238014
79.548691,7.265030
79.548691,7.292038
79.548691,7.319054
79.548691,7.346046
79.548691,7.373055
79.548691,7.400063
79.548691,7.427063
79.548691,7.454071
79.548691,7.481064
79.548691,7.508057
79.548691,7.535057
79.548691,7.562050
79.548691,7.589035
79.548691,7.616028
79.548691,7.643021
79.548691,7.670006
79.548691,7.696991
79.548691,7.723969
79.548691,7.750954
79.548691,7.777931
79.548691,7.804909
79.548691,7.831886
79.548691,7.858864
79.548691,7.885834
79.548691,7.912804
79.548691,7.939774
79.548691,7.966743
79.548691,7.993706
79.548691,8.020668
79.548691,8.047630
79.548691,8.074585
79.548691,8.101547
79.548691,8.128502
79.548691,8.155464
79.548691,8.182411
79.548691,8.209366
79.548691,8.236313
79.548691,8.263260
79.548691,8.290207
79.548691,8.317154
79.548691,8.344101
79.548691,8.371033
79.548691,8.397972
79.548691,8.424904
79.548691,8.451843
79.548691,8.478775
79.548691,8.505707
79.548691,8.532631
79.548691,8.559563
79.548691,8.586479
79.548691,8.613403
79.548691,8.640327
79.548691,8.667244
79.548691,8.694168
79.548691,8.721085
79.548691,8.747993
79.548691,8.774902
79.548691,8.801819
79.548691,8.828720
79.548691,8.855629
79.548691,8.882538
79.548691,8.909431
79.548691,8.936333
79.548691,8.963234
79.548691,8.990128
79.548691,9.017021
79.548691,9.043915
79.548691,9.070801
79.548691,9.097694
79.548691,9.124573
79.548691,9.151459
